IATA_CODE,ENG_AIRPORT_NAME,KOR_AIRPORT_NAME,ENG_CITY_NAME,KOR_CITY_NAME,KOR_COUNTRY_NAME,ENG_COUNTRY_NAME,VIEW_COUNT
ADP,Ampara Airport,암파라 공항,Ampara,암파라,스리랑카,Sri Lanka,0
ADQ,Kodiak Airport,코디악 공항,Kodiak,코디악,미국,United States,0
ADS,Addison Airport,애디슨 공항,Dallas,달라스,미국,United States,0
ADU,Ardabil Airport,아르다빌 공항,Ardabil,아르다빌,이란,Iran,0
ADV,Ed Daein Airport,에드 데인 공항,Ed Daein,에드 다인,수단,Sudan,0
ADW,Andrews Field,앤드루스 공군기지,Camp Springs,캠프 스프링스,미국,United States,0
ADZ,Gustavo Rojas Pinilla International Airport,구스타보 로하스 피닐라 국제공항,San Andres Island,산안드레스 섬,콜롬비아,Colombia,0
AEA,Abemama Atoll Airport,아베마마 아톨 공항,Abemama Atoll,아베마마 환초,키리바시,Kiribati,0
AEB,Baise Bama Airport,바이스 바마 공항,Baise,베이즈,중국,China,0
AEG,Aek Godang Airport,애크고당공항,Padang Sidempuan,파당 사이드푸안,인도네시아,Indonesia,0
AEH,Abeche Airport,아베셰 공항,Abeche,아베체,차드,Chad,0
AEM,Amgu Airport,암구 공항,Amgu,암구,러시아,Russia,0
AEP,Jorge Newbery Airpark,호르헤 뉴베리 에어파크,Buenos Aires,부에노스아이레스,아르헨티나,Argentina,0
AER,Sochi International Airport,소치 국제 공항,Sochi,소치,러시아,Russia,0
AES,alesund Airport Vigra,올레순비그라 공항,alesund,올레순,노르웨이,Norway,0
AET,Allakaket Airport,알라카켓 공항,Allakaket,알라카켓,미국,United States,0
AEU,Abu Musa Airport,아부무사 공항,Abu Musa Island,아부무사섬,이란,Iran,0
AEX,Alexandria International Airport,알렉산드리아 국제 공항,Alexandria,알렉산드리아,미국,United States,0
AEY,Akureyri Airport,아쿠레이리 공항,Akureyri,아쿠레이리,아이슬란드,Iceland,0
AFA,San Rafael Airport,산 라파엘 공항,San Rafael,산 라파엘,아르헨티나,Argentina,0
AFK,Kondavattavan Tank Seaplane Base,콘다바타반 탱크 수상비행기 기지,Ampara,암파라,스리랑카,Sri Lanka,0
AFL,Alta Floresta Airport,알타 플로레스타 공항,Alta Floresta,알타 플로레스타,브라질,Brazil,0
AFN,Jaffrey AirportSilver Ranch,재프리 공항실버 랜치,Jaffrey,재프리,미국,United States,0
AFS,Zarafshan Airport,자라프샨 공항,Zarafshan,자라프샨,우즈베키스탄,Uzbekistan,0
AFT,Afutara Airport,아푸타라 공항,Afutara,아푸타라,솔로몬 제도,Solomon Islands,0
AFW,Fort Worth Alliance Airport,포트워스 얼라이언스 공항,Fort Worth,포트워스,미국,United States,0
AFZ,Sabzevar Airport,사브제바르 공항,Sabzevar,사브제바르,이란,Iran,0
AGA,Agadir Al Massira Airport,아가디르 알 마시라 공항,Agadir,아가디르,모로코,Morocco,0
AGB,Augsburg Airport,아우크스부르크 공항,Augsburg,아우크스부르크,독일,Germany,0
AGC,Allegheny County Airport,앨러게니 카운티 공항,Pittsburgh,피츠버그,미국,United States,0
AGF,Agen La Garenne Airport,아겐 라 가렌느 공항,Agen,아젠,프랑스,France,0
AGH,Angelholm Helsingborg Airport,엔겔홀름 헬싱보리 공항,Angelholm,앙헬홀름,스웨덴,Sweden,0
AGJ,Aguni Airport,아구니 공항,Aguni,아구니,일본,Japan,0
AGL,Wanigela Airport,와니겔라 공항,Wanigela,와니겔라,파푸아뉴기니,Papua New Guinea,0
AGN,Angoon Seaplane Base,앙군 수상비행기 기지,Angoon,앙군,미국,United States,0
AGP,Malaga Airport,말라가 공항,Malaga,말라가,스페인,Spain,0
AGR,Agra Airport,아그라 공항,Agra,아그라,인도,India,0
AGS,Augusta Regional Airportat Bush Field,오거스타 공항앳 부시 필드,Augusta,아우구스타,미국,United States,0
AGT,GuaranI International Airport,과라니 국제 공항,Ciudad del Este,시우다드 델 에스테,파라과이,Paraguay,0
AGU,Lic. JesUs Teran Peredo International Airport,헤수스 테란 페레도 국제공항,Aguascalientes,아과스칼리엔테스,멕시코,Mexico,0
AGV,Oswaldo Guevara Mujica Airport,오스왈도 게바라 무히카 공항,Acarigua,아카리구아,베네수엘라,Venezuela,0
AGX,Agatti Aerodrome,아가티 비행장,Agatti Island,아가티 아일랜드,인도,India,0
AHB,Abha Regional Airport,아바 공항,Abha,아바,사우디아라비아,Saudi Arabia,0
AHE,Ahe Airport,아헤 공항,Ahe,아헤,프랑스령 폴리네시아,French Polynesia,0
AHJ,Hongyuan Airport,훙위안 공항,Hongyuan,홍위안,중국,China,0
AHN,Athens Ben Epps Airport,아테네 벤 엡스 공항,Athens,아테네,미국,United States,0
AHO,Alghero Fertilia Airport,알게로 페르틸리아 공항,Alghero,알게로,이탈리아,Italy,0
AHU,Cherif Al Idrissi Airport,체리프 알 이드리시 공항,Al Hoceima,알 호세이마,모로코,Morocco,0
AIA,Alliance Municipal Airport,얼라이언스 공항,Alliance,동맹,미국,United States,0
AIC,Ailinglaplap Airok Airport,아이링라플랍 아이록 공항,Airok,에어록,마샬 군도,Marshall Islands,0
AIM,Ailuk Airport,아일룩 공항,Ailuk Atoll,아이루크 환초,마샬 군도,Marshall Islands,0
AIN,Wainwright Airport,웨인라이트 공항,Fort Wainwright,포트 웨인라이트,미국,United States,0
AIP,Adampur Airport,아담푸르 공항,Adampur,아담푸르,인도,India,0
AIR,Aripuana Airport,아리푸아낭 공항,Aripuana,아리푸아나,브라질,Brazil,0
AIS,Arorae Island Airport,아로라 아일랜드 공항,Arorae Island,아로래섬,키리바시,Kiribati,0
AIT,Aitutaki Airport,아이투타키 공항,Aitutaki,아이투타키,쿡 군도,Cook Islands,0
AIU,Enua Airport,에누아 공항,Atiu Island,아티우섬,쿡 군도,Cook Islands,0
AJA,Ajaccio Napoleon Bonaparte Airport,아작시오 나폴레옹 보나파르트 공항,Ajaccio,아작시오,프랑스,France,0
AJF,Al Jawf Domestic Airport,알 자우프 국내선 공항,Sakakah,사카카,사우디아라비아,Saudi Arabia,0
AJI,Agri Airport,아리 공항,Agri,농업,터키,Turkey,0
AJK,Arak Airport,아라크 공항,Arak,아라크,이란,Iran,0
AJL,Lengpui Airport,렝푸이 공항,Aizawl,아이자울,인도,India,0
AJN,Ouani Airport,우아니 공항,Anjouan,앙주안,코모로,Comoros,0
AJR,Arvidsjaur Airport,아르비스야우르 공항,Arvidsjaur,아르비스야우르,스웨덴,Sweden,0
AJU,Santa Maria Airport,산타 마리아 공항,Aracaju,아라카주,브라질,Brazil,0
AJY,Mano Dayak International Airport,마노 다약 국제 공항,Agadez,아가데즈,니제르,Niger,0
AKA,Ankang Wulipu Airport,안캉 울리푸 공항,Ankang,안강,중국,China,0
AKB,Atka Airport,앗카 공항,Atka,아트카,미국,United States,0
AKD,Akola Airport,아콜라 공항,Akola,아콜라,인도,India,0
AKF,Kufra Airport,쿠프라 공항,Kufra,쿠프라,리비아,Libya,0
AKI,Akiak Airport,아키악 공항,Akiak,아키악,미국,United States,0
AKJ,Asahikawa Airport,아사히카와 공항,Asahikawa,아사히카와,일본,Japan,0
AKK,Akhiok Airport,아키오크 공항,Akhiok,아키오크,미국,United States,0
AKL,Auckland Airport,오클랜드 공항,Auckland,오클랜드,뉴질랜드,New Zealand,0
AKN,King Salmon Airport,킹 새먼 공항,King Salmon,킹 연어,미국,United States,0
AKP,Anaktuvuk Pass Airport,아낙투북 패스 공항,Anaktuvuk Pass,아낙투북 패스,미국,United States,0
AKR,Akure Airport,아쿠레 공항,Akure,아쿠레,나이지리아,Nigeria,0
AKS,Auki Gwaunaru'u Airport,아우키 과우나루우 공항,Auki,아우키,솔로몬 제도,Solomon Islands,0
AKU,Aksu Airport,악수 공항,Aksu,악수,중국,China,0
AKV,Akulivik Airport,아쿨리비크 공항,Akulivik,아쿨리비크,캐나다,Canada,0
AKX,Aktobe Airport,악토베 공항,Aktobe,악토베,카자흐스탄,Kazakhstan,0
AKY,Sittwe Airport,시트웨 공항,Sittwe,시트웨,미얀마,Myanmar,0
ALA,Almaty International Airport,알마티 국제 공항,Almaty,알마티,카자흐스탄,Kazakhstan,0
ALB,Albany International Airport,올버니 국제 공항,Albany,올버니,미국,United States,0
ALC,Alicante Elche Airport,알리칸테 엘체 공항,Alicante,알리칸테,스페인,Spain,0
ALE,Alpine Casparis Municipal Airport,알파인 카스파리 시립공항,Alpine,알파인,미국,United States,0
ALF,Alta Airport,알타 공항,Alta,알타,노르웨이,Norway,0
ALG,Houari Boumediene Airport,후아리 부메디엔 공항,Algiers,알제,알제리,Algeria,0
ALH,Albany Airport,올버니 공항,Albany,올버니,오스트레일리아,Australia,0
ALI,Alice International Airport,앨리스 국제 공항,Alice,앨리스,미국,United States,0
ALM,Alamogordo White Sands Regional Airport,앨라모고도 화이트 샌즈 공항,Alamogordo,앨라모고도,미국,United States,0
ALO,Waterloo Regional Airport,워털루 공항,Waterloo,워털루,미국,United States,0
